site,block,id.plot,species,seedlings_survival,transmitted_light,ground_vegetation_treatment,dds,year
Vz,5,Vz5V,Fagus.sylvatica,1,16.02,V,2099.118069,2008
Vz,6,Vz6NV,Abies.alba,0,12.4725,NV,2099.118069,2008
Vz,6,Vz6NV,Abies.alba,0,12.4725,NV,2099.118069,2008
Vz,6,Vz6NV,Abies.alba,0,12.4725,NV,2099.118069,2008
Vz,6,Vz6NV,Pinus.uncinata,0,12.4725,NV,2099.118069,2008
Vz,6,Vz6NV,Abies.alba,0,12.4725,NV,2099.118069,2008
Vz,6,Vz6V,Abies.alba,1,11.91,V,2099.118069,2008
Vz,6,Vz6V,Fagus.sylvatica,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Pinus.uncinata,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Abies.alba,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Fagus.sylvatica,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Pinus.uncinata,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Fagus.sylvatica,1,11.91,V,2099.118069,2008
Vz,6,Vz6V,Abies.alba,1,11.91,V,2099.118069,2008
Vz,6,Vz6V,Fagus.sylvatica,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Fagus.sylvatica,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Abies.alba,1,11.91,V,2099.118069,2008
Vz,6,Vz6V,Pinus.uncinata,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Abies.alba,1,11.91,V,2099.118069,2008
Vz,6,Vz6V,Fagus.sylvatica,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Quercus.petraea,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Abies.alba,1,11.91,V,2099.118069,2008
Vz,6,Vz6V,Quercus.petraea,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Pinus.uncinata,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Abies.alba,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Fagus.sylvatica,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Fagus.sylvatica,1,11.91,V,2099.118069,2008
Vz,6,Vz6V,Pinus.uncinata,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Quercus.petraea,0,11.91,V,2099.118069,2008
Vz,6,Vz6V,Abies.alba,0,11.91,V,2099.118069,2008
Mo,1,Mo1NV,Abies.alba,1,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Quercus.petraea,1,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Abies.alba,0,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Abies.alba,0,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Abies.alba,0,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Quercus.petraea,1,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Abies.alba,0,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Abies.alba,1,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Quercus.petraea,1,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Fagus.sylvatica,0,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Abies.alba,0,5.945,NV,1301.108209,2008
Mo,1,Mo1NV,Abies.alba,0,5.945,NV,1301.108209,2008
Mo,1,Mo1V,Abies.alba,0,6.88,V,1301.108209,2008
Mo,1,Mo1V,Fagus.sylvatica,0,6.88,V,1301.108209,2008
Mo,1,Mo1V,Quercus.petraea,1,6.88,V,1301.108209,2008
Mo,1,Mo1V,Fagus.sylvatica,0,6.88,V,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,0,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,0,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,1,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Fagus.sylvatica,1,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Quercus.petraea,0,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,0,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,1,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,1,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,1,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,0,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,0,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Quercus.petraea,1,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,1,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,1,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Abies.alba,0,11.19,NV,1301.108209,2008
Mo,2,Mo2NV,Pinus.uncinata,0,11.19,NV,1301.108209,2008
Mo,2,Mo2V,Quercus.petraea,1,13.6375,V,1301.108209,2008
Mo,3,Mo3NV,Quercus.petraea,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Fagus.sylvatica,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Fagus.sylvatica,0,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Quercus.petraea,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Abies.alba,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Pinus.uncinata,0,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Abies.alba,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Quercus.petraea,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Abies.alba,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Pinus.uncinata,0,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Abies.alba,0,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Pinus.uncinata,0,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Quercus.petraea,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Pinus.uncinata,0,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Abies.alba,0,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Pinus.uncinata,0,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Abies.alba,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Quercus.petraea,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3NV,Fagus.sylvatica,1,9.0375,NV,1301.108209,2008
Mo,3,Mo3V,Abies.alba,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Abies.alba,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Quercus.petraea,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Abies.alba,0,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Abies.alba,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Abies.alba,0,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Fagus.sylvatica,0,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Quercus.petraea,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Abies.alba,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Abies.alba,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Quercus.petraea,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Abies.alba,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Quercus.petraea,1,7.9725,V,1301.108209,2008
Mo,3,Mo3V,Abies.alba,1,7.9725,V,1301.108209,2008
Mo,4,Mo4NV,Quercus.petraea,1,19.1625,NV,1301.108209,2008
Mo,4,Mo4NV,Abies.alba,1,19.1625,NV,1301.108209,2008
Mo,4,Mo4NV,Abies.alba,1,19.1625,NV,1301.108209,2008
Mo,4,Mo4V,Abies.alba,0,11.4,V,1301.108209,2008
Mo,4,Mo4V,Quercus.petraea,1,11.4,V,1301.108209,2008
Mo,4,Mo4V,Fagus.sylvatica,0,11.4,V,1301.108209,2008
Mo,4,Mo4V,Abies.alba,1,11.4,V,1301.108209,2008
Mo,4,Mo4V,Fagus.sylvatica,0,11.4,V,1301.108209,2008
Mo,4,Mo4V,Abies.alba,0,11.4,V,1301.108209,2008
Pr,1,Pr1NV,Fagus.sylvatica,1,25.6075,NV,984.1998842,2008
Pr,1,Pr1NV,Quercus.petraea,1,25.6075,NV,984.1998842,2008
Pr,1,Pr1NV,Quercus.petraea,1,25.6075,NV,984.1998842,2008
Pr,1,Pr1NV,Abies.alba,1,25.6075,NV,984.1998842,2008
Pr,1,Pr1NV,Quercus.petraea,1,25.6075,NV,984.1998842,2008
Pr,1,Pr1NV,Quercus.petraea,1,25.6075,NV,984.1998842,2008
Pr,1,Pr1V,Quercus.petraea,1,26.6125,V,984.1998842,2008
Pr,1,Pr1V,Quercus.petraea,1,26.6125,V,984.1998842,2008
Pr,1,Pr1V,Quercus.petraea,1,26.6125,V,984.1998842,2008
Pr,1,Pr1V,Quercus.petraea,1,26.6125,V,984.1998842,2008
Pr,1,Pr1V,Quercus.petraea,1,26.6125,V,984.1998842,2008
Pr,1,Pr1V,Quercus.petraea,1,26.6125,V,984.1998842,2008
Pr,2,Pr2NV,Quercus.petraea,1,30.69,NV,984.1998842,2008
Pr,2,Pr2NV,Quercus.petraea,1,30.69,NV,984.1998842,2008
Pr,2,Pr2NV,Quercus.petraea,1,30.69,NV,984.1998842,2008
Pr,2,Pr2NV,Quercus.petraea,1,30.69,NV,984.1998842,2008
Pr,2,Pr2NV,Fagus.sylvatica,1,30.69,NV,984.1998842,2008
Pr,2,Pr2NV,Quercus.petraea,1,30.69,NV,984.1998842,2008
Pr,2,Pr2NV,Quercus.petraea,1,30.69,NV,984.1998842,2008
Pr,2,Pr2NV,Quercus.petraea,1,30.69,NV,984.1998842,2008
Pr,2,Pr2V,Quercus.petraea,1,29.1,V,984.1998842,2008
Pr,2,Pr2V,Quercus.petraea,1,29.1,V,984.1998842,2008
Pr,2,Pr2V,Quercus.petraea,1,29.1,V,984.1998842,2008
Pr,2,Pr2V,Quercus.petraea,1,29.1,V,984.1998842,2008
Pr,2,Pr2V,Quercus.petraea,1,29.1,V,984.1998842,2008
Pr,2,Pr2V,Quercus.petraea,1,29.1,V,984.1998842,2008
Pr,2,Pr2V,Quercus.petraea,1,29.1,V,984.1998842,2008
Pr,2,Pr2V,Quercus.petraea,1,29.1,V,984.1998842,2008
Pr,3,Pr3NV,Quercus.petraea,1,12.52,NV,984.1998842,2008
Pr,3,Pr3NV,Abies.alba,0,12.52,NV,984.1998842,2008
Pr,3,Pr3NV,Quercus.petraea,1,12.52,NV,984.1998842,2008
Pr,3,Pr3NV,Quercus.petraea,1,12.52,NV,984.1998842,2008
Pr,3,Pr3NV,Quercus.petraea,1,12.52,NV,984.1998842,2008
Pr,3,Pr3NV,Quercus.petraea,1,12.52,NV,984.1998842,2008
Pr,3,Pr3NV,Fagus.sylvatica,1,12.52,NV,984.1998842,2008
Pr,3,Pr3V,Quercus.petraea,1,20.3425,V,984.1998842,2008
Pr,3,Pr3V,Quercus.petraea,1,20.3425,V,984.1998842,2008
Pr,3,Pr3V,Fagus.sylvatica,1,20.3425,V,984.1998842,2008
Pr,3,Pr3V,Quercus.petraea,1,20.3425,V,984.1998842,2008
Pr,3,Pr3V,Quercus.petraea,1,20.3425,V,984.1998842,2008
Pr,3,Pr3V,Quercus.petraea,1,20.3425,V,984.1998842,2008
Pr,3,Pr3V,Quercus.petraea,1,20.3425,V,984.1998842,2008
Pr,4,Pr4NV,Quercus.petraea,1,19.9025,NV,984.1998842,2008
Pr,4,Pr4NV,Quercus.petraea,1,19.9025,NV,984.1998842,2008
Pr,4,Pr4NV,Abies.alba,1,19.9025,NV,984.1998842,2008
Pr,4,Pr4NV,Quercus.petraea,1,19.9025,NV,984.1998842,2008
Pr,4,Pr4NV,Quercus.petraea,1,19.9025,NV,984.1998842,2008
Pr,4,Pr4V,Quercus.petraea,1,20.3175,V,984.1998842,2008
Pr,5,Pr5NV,Fagus.sylvatica,1,12.6575,NV,984.1998842,2008
Pr,5,Pr5NV,Pinus.uncinata,1,12.6575,NV,984.1998842,2008
Pr,5,Pr5NV,Fagus.sylvatica,0,12.6575,NV,984.1998842,2008
Pr,5,Pr5NV,Quercus.petraea,1,12.6575,NV,984.1998842,2008
Pr,5,Pr5NV,Quercus.petraea,1,12.6575,NV,984.1998842,2008
Pr,5,Pr5V,Quercus.petraea,1,13.2025,V,984.1998842,2008
Pr,5,Pr5V,Abies.alba,0,13.2025,V,984.1998842,2008
Pr,5,Pr5V,Fagus.sylvatica,1,13.2025,V,984.1998842,2008
Pr,5,Pr5V,Quercus.petraea,1,13.2025,V,984.1998842,2008
Pr,5,Pr5V,Quercus.petraea,1,13.2025,V,984.1998842,2008
Pr,6,Pr6NV,Abies.alba,1,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Fagus.sylvatica,0,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Quercus.petraea,1,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Abies.alba,0,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Quercus.petraea,1,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Abies.alba,1,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Quercus.petraea,1,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Quercus.petraea,1,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Quercus.petraea,1,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Abies.alba,1,8.795,NV,984.1998842,2008
Pr,6,Pr6NV,Quercus.petraea,1,8.795,NV,984.1998842,2008
Pr,6,Pr6V,Quercus.petraea,1,9.06,V,984.1998842,2008
Pr,6,Pr6V,Fagus.sylvatica,0,9.06,V,984.1998842,2008
BB,1,BB1NV,Fagus.sylvatica,0,14.66,NV,707.8972667,2008
BB,1,BB1NV,Fagus.sylvatica,1,14.66,NV,707.8972667,2008
BB,1,BB1NV,Abies.alba,1,14.66,NV,707.8972667,2008
BB,1,BB1NV,Fagus.sylvatica,1,14.66,NV,707.8972667,2008
BB,1,BB1NV,Fagus.sylvatica,1,14.66,NV,707.8972667,2008
BB,1,BB1NV,Abies.alba,0,14.66,NV,707.8972667,2008
BB,1,BB1NV,Fagus.sylvatica,1,14.66,NV,707.8972667,2008
BB,1,BB1NV,Fagus.sylvatica,1,14.66,NV,707.8972667,2008
BB,1,BB1V,Pinus.uncinata,0,13.0275,V,707.8972667,2008
BB,1,BB1V,Pinus.uncinata,1,13.0275,V,707.8972667,2008
BB,2,BB2NV,Fagus.sylvatica,1,54.595,NV,707.8972667,2008
BB,2,BB2NV,Pinus.uncinata,1,54.595,NV,707.8972667,2008
BB,2,BB2NV,Fagus.sylvatica,0,54.595,NV,707.8972667,2008
BB,2,BB2NV,Abies.alba,0,54.595,NV,707.8972667,2008
BB,2,BB2NV,Abies.alba,0,54.595,NV,707.8972667,2008
BB,2,BB2NV,Pinus.uncinata,1,54.595,NV,707.8972667,2008
BB,2,BB2NV,Pinus.uncinata,0,54.595,NV,707.8972667,2008
BB,2,BB2NV,Pinus.uncinata,0,54.595,NV,707.8972667,2008
BB,2,BB2V,Fagus.sylvatica,1,47.035,V,707.8972667,2008
BB,2,BB2V,Quercus.petraea,1,47.035,V,707.8972667,2008
BB,2,BB2V,Quercus.petraea,1,47.035,V,707.8972667,2008
BB,2,BB2V,Fagus.sylvatica,1,47.035,V,707.8972667,2008
BB,2,BB2V,Quercus.petraea,1,47.035,V,707.8972667,2008
BB,2,BB2V,Fagus.sylvatica,1,47.035,V,707.8972667,2008
BB,3,BB3NV,Pinus.uncinata,0,18.19,NV,707.8972667,2008
BB,3,BB3NV,Pinus.uncinata,1,18.19,NV,707.8972667,2008
BB,3,BB3NV,Pinus.uncinata,0,18.19,NV,707.8972667,2008
BB,3,BB3NV,Fagus.sylvatica,0,18.19,NV,707.8972667,2008
BB,3,BB3V,Pinus.uncinata,1,24.2675,V,707.8972667,2008
BB,3,BB3V,Fagus.sylvatica,1,24.2675,V,707.8972667,2008
BB,3,BB3V,Fagus.sylvatica,1,24.2675,V,707.8972667,2008
BB,3,BB3V,Pinus.uncinata,0,24.2675,V,707.8972667,2008
BB,3,BB3V,Fagus.sylvatica,1,24.2675,V,707.8972667,2008
BB,4,BB4NV,Fagus.sylvatica,0,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Pinus.uncinata,1,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Pinus.uncinata,1,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Abies.alba,1,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Pinus.uncinata,1,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Pinus.uncinata,0,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Quercus.petraea,1,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Quercus.petraea,1,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Abies.alba,0,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Fagus.sylvatica,1,14.6125,NV,707.8972667,2008
BB,4,BB4NV,Pinus.uncinata,1,14.6125,NV,707.8972667,2008
BB,4,BB4V,Fagus.sylvatica,1,16.3275,V,707.8972667,2008
BB,4,BB4V,Pinus.uncinata,1,16.3275,V,707.8972667,2008
BB,4,BB4V,Fagus.sylvatica,1,16.3275,V,707.8972667,2008
BB,5,BB5NV,Quercus.petraea,1,15.5325,NV,707.8972667,2008
BB,5,BB5NV,Fagus.sylvatica,1,15.5325,NV,707.8972667,2008
BB,5,BB5NV,Abies.alba,1,15.5325,NV,707.8972667,2008
BB,5,BB5NV,Abies.alba,1,15.5325,NV,707.8972667,2008
BB,5,BB5NV,Abies.alba,1,15.5325,NV,707.8972667,2008
BB,5,BB5NV,Abies.alba,1,15.5325,NV,707.8972667,2008
BB,5,BB5NV,Quercus.petraea,1,15.5325,NV,707.8972667,2008
BB,5,BB5NV,Abies.alba,1,15.5325,NV,707.8972667,2008
BB,6,BB6NV,Abies.alba,1,64.745,NV,707.8972667,2008
BB,6,BB6NV,Pinus.uncinata,0,64.745,NV,707.8972667,2008
BB,6,BB6NV,Fagus.sylvatica,1,64.745,NV,707.8972667,2008
BB,6,BB6NV,Abies.alba,0,64.745,NV,707.8972667,2008
BB,6,BB6NV,Quercus.petraea,1,64.745,NV,707.8972667,2008
BB,6,BB6NV,Abies.alba,1,64.745,NV,707.8972667,2008
BB,6,BB6NV,Quercus.petraea,1,64.745,NV,707.8972667,2008
BB,6,BB6NV,Quercus.petraea,1,64.745,NV,707.8972667,2008
